bucket,pair_auc_ips,rjs_tau
ALL,0.445,-0.11
pop_bin=0,0.3783783783783784,-0.24324324324324326
pop_bin=1,0.5,0.0
pop_bin=2,0.4878048780487805,-0.024390243902439025
pop_bin=3,0.4339622641509434,-0.1320754716981132
pop_bin=4,0.41935483870967744,-0.16129032258064516
